  UNIT                                                                                                                                                        LOAD      ACTIVE   SUB       DESCRIPTION
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dpartuuid-55ff2f0a\x2da8f2\x2d4d6d\x2db21b\x2d34340bc8de8c.device                        loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2dpartuuid-67263091\x2d5ffe\x2d4937\x2d9257\x2d8ded6a2d4fa4.device                        loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart-by\x2duuid-BA0807F60807B105.device                                                            loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart1.device                                                                                       loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.0\x2dpart2.device                                                                                       loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2.device                                                                                                  loaded    active   plugged   SSDPR-CX400-01T-G2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2\x2dpart1.device                                                                                         loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d2\x2dpart2.device                                                                                         loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0.device                                                                                                loaded    active   plugged   Samsung_SSD_870_EVO_1TB
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dlabel-Sy\x5cx27s\x5cx20Storage.device                                                   loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dpartlabel-Basic\x5cx20data\x5cx20partition.device                                       loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dpartlabel-Microsoft\x5cx20reserved\x5cx20partition.device                               loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dpartnum-1.device                                                                        loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dpartnum-2.device                                                                        loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dpartuuid-2f5adaf7\x2d4261\x2d41bb\x2da289\x2d125821749b52.device                        loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2dpartuuid-a8ef694b\x2dd627\x2d41d3\x2d9e97\x2d2f81c29ba63c.device                        loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart-by\x2duuid-C080FA8B80FA86E6.device                                                            loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart1.device                                                                                       loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.0\x2dpart2.device                                                                                       loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5.device                                                                                                  loaded    active   plugged   Samsung_SSD_870_EVO_1TB
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5\x2dpart1.device                                                                                         loaded    active   plugged   Samsung_SSD_870_EVO_1TB Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:01:00.1\x2data\x2d5\x2dpart2.device                                                                                         loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2duuid-245ee27d\x2dbd7f\x2d40ee\x2db2d8\x2deb3af9f27917.device                                                                                 loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-disk-by\x2duuid-660E070C0E06D4C9.device                                                                                                                 loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-disk-by\x2duuid-804B\x2dE7CB.device                                                                                                                     loaded    active   plugged   Samsung_SSD_840_EVO_120GB 1
  dev-disk-by\x2duuid-B20E26E00E269CFB.device                                                                                                                 loaded    active   plugged   CT500MX500SSD1 4
  dev-disk-by\x2duuid-BA0807F60807B105.device                                                                                                                 loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
  dev-disk-by\x2duuid-C080FA8B80FA86E6.device                                                                                                                 loaded    active   plugged   Samsung_SSD_870_EVO_1TB Sy's_Storage
  dev-disk-by\x2duuid-F6D5\x2d0FAB.device                                                                                                                     loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-gpt\x2dauto\x2droot.device                                                                                                                              loaded    active   plugged   Samsung_SSD_840_EVO_120GB 2
  dev-ptp0.device                                                                                                                                             loaded    active   plugged   /dev/ptp0
  dev-rfkill.device                                                                                                                                           loaded    active   plugged   /dev/rfkill
  dev-sda.device                                                                                                                                              loaded    active   plugged   CT500MX500SSD1
  dev-sda1.device                                                                                                                                             loaded    active   plugged   CT500MX500SSD1 Microsoft\x20reserved\x20partition
  dev-sda2.device                                                                                                                                             loaded    active   plugged   CT500MX500SSD1 EFI\x20system\x20partition
  dev-sda3.device                                                                                                                                             loaded    active   plugged   CT500MX500SSD1 Basic\x20data\x20partition
  dev-sda4.device                                                                                                                                             loaded    active   plugged   CT500MX500SSD1 4
  dev-sdb.device                                                                                                                                              loaded    active   plugged   SSDPR-CX400-01T-G2
  dev-sdb1.device                                                                                                                                             loaded    active   plugged   SSDPR-CX400-01T-G2 Microsoft\x20reserved\x20partition
  dev-sdb2.device                                                                                                                                             loaded    active   plugged   SSDPR-CX400-01T-G2 SY's_Storage_2
